no	plot	block	date1	date2	date3	replanted	species	mycorrhiza	substrate	soilType	brickRatio	acid	soilMoisture1	soilMoisture2	soilMoisture3	soilMoisture4	soilMoisture5	soilMoisture6	diameter1	diameter2	diameter3	height1	height2	height3	bagMassStem	stemMassTotal	bagMassRestleaf	restleafMassTotal	leaf1Mass	leaf2Mass	leaf3Mass	leaf1Area	leaf2Area	leaf3Area	bagMassRestroot	restrootMassTotal	rootLength	bagMassAbsorptivefineroot	absorptivefinerootMassTotal	bagMassTransportfineroot	transportfinerootMassTotal	comment	threshold
1	AY30Amyac	A	2019-03-20	2019-09-20	2020-06-29	0	Acer	Mycorrhiza	substrate_1	rich	30	Acid	19.6	20	26.7	16.1	16	14.9	12.8	16.8	18.3	96	113	119	 31.5   	 86.5   	 9.7   	 39.4   	0.69	0.47	0.64	107.2	82.5	112.5	22.0	134.4	497	3.4230	3.600	3.4230	3.533	na	80
2	AY30Anoac	A	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_1	rich	30	Acid	19.1	23	26.2	10.8	16.2	13.9	18.8	21	21.2	104	134	135	 31.5   	 106.0   	 9.7   	 36.7   	0.24	0.30	0.26	40.2	53.3	43.9	22.0	134.2	1466	3.4230	3.774	3.4230	4.074	na	80
3	AY30Tmyac	A	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_1	rich	30	Acid	19.3	24.7	26.9	19.4	15.4	12	14.9	18.9	21.1	87	95	106	 22.2   	 96.1   	 9.7   	 29.6   	0.18	0.15	0.15	34.4	32.3	29.0	22.0	96.6	736	3.4230	3.537	3.4230	3.716	turbid	80
4	AY30Tnoac	A	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_1	rich	30	Acid	17.1	22.4	17.7	5	8.8	13.8	12.7	20.6	22.8	83	117	125	 31.5   	 99.6   	 9.7   	 28.6   	0.12	0.11	0.09	24.4	22.3	22.0	22.0	102.8	845	3.4230	3.491	3.4230	3.594	na	80
5	BY30Amyac	B	2019-03-20	2019-09-20	2020-06-29	0	Acer	Mycorrhiza	substrate_1	rich	30	Acid	15.9	15.6	16.8	11.3	18.8	14.1	11.0	12.8	14.4	97.5	106	110	 9.7   	 64.0   	 9.7   	 40.1   	0.42	0.75	0.61	65.1	92.7	87.3	22.0	136.2	1634	3.4230	3.709	3.4230	3.740	turbid	80
6	BY30Anoac	B	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_1	rich	30	Acid	23.2	26.5	20.4	12.8	10.8	11.4	12.8	13.9	14.9	72.5	79	81	 9.7   	 44.9   	 9.7   	 39.7   	0.71	0.46	0.57	102.2	73.4	83.6	22.0	158.8	1027	3.4230	3.791	3.4230	3.669	na	80
7	BY30Tmyac	B	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_1	rich	30	Acid	14.4	19.1	15.9	8.9	8.3	8.3	18.6	25.6	29.1	60	105	121	 9.7   	 102.2   	 9.7   	 34.0   	0.18	0.19	0.10	33.4	31.1	17.1	22.0	190.0	1354	3.4230	3.759	3.4230	3.694	turbid	80
8	BY30Tnoac	B	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_1	rich	30	Acid	22.7	24.6	17.9	7.8	8.1	7.6	12.5	17.7	19.8	87	103	118	 9.7   	 70.5   	 9.7   	 27.9   	0.15	0.16	0.13	26.5	25.7	24.7	22.0	104.8	1772	3.4230	3.869	3.4230	4.105	na	80
9	CY30Amyac	C	2019-03-20	2019-09-20	2020-06-29	0	Acer	Mycorrhiza	substrate_1	rich	30	Acid	22.7	28.1	25.5	11.3	14.5	14.2	9.3	10.7	11	65.5	88	90	 9.7   	 42.8   	 9.7   	 33.1   	0.58	0.31	0.64	85.3	47.2	92.3	22.0	112.0	1214	3.4230	3.742	3.4230	3.635	na	80
10	CY30Anoac	C	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_1	rich	30	Acid	20	21.5	22.5	6.9	7.8	6.4	16.5	19.9	20.6	64.5	84	120	 9.7   	 58.5   	 9.7   	 35.9   	1.55	1.08	0.61	217.9	160.4	85.9	22.0	167.2	1561	3.4230	3.742	3.4230	3.613	na	80
11	CY30Tmyac	C	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_1	rich	30	Acid	20.3	15.4	14	10	9.6	10.3	16.4	18.3	20.8	103.5	99	103	 9.7   	 84.9   	 9.7   	 35.9   	0.16	0.20	0.16	32.7	37.2	26.2	22.0	145.4	235	3.4230	3.421	3.4230	3.557	na	80
12	CY30Tnoac	C	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_1	rich	30	Acid	19.4	14.2	18.4	5.3	10.4	8.1	15.1	22.4	23.6	82	85	103	 9.7   	 86.0   	 9.7   	 36.3   	0.23	0.24	0.17	47.3	46.6	31.4	22.0	185.4	776	3.4230	3.508	3.4230	3.657	na	80
13	DY30Amyac	D	2019-03-20	2019-09-20	2020-06-29	1	Acer	Mycorrhiza	substrate_1	rich	30	Acid	24.6	20	25.1	13.2	14.6	18.8	9.5	10.6	13.2	93	107	134	 9.7   	 49.4   	 9.7   	 23.8   	0.93	0.66	0.62	158.5	110.7	114.9	22.0	114.2	448	3.4230	3.530	3.4230	3.607	na	80
