"","term","statistic","df","p.value"
"1","(Intercept)",857.483517581906,1,1.71649348448596e-188
"2","species",11.1270023286962,1,0.000850799805511676
"3","brickRatio",0.0759256668470231,1,0.782896694319844
"4","soilType",0.268869848539497,1,0.604090896793864
"5","mycorrhiza",3.3185409075069,1,0.0685026007125825
"6","species:brickRatio",5.77593491455807e-08,1,0.999808243010565
"7","species:soilType",0.598195344877918,1,0.439267413333519
"8","species:mycorrhiza",2.5741964703387,1,0.108619244648086
"9","brickRatio:soilType",0.101071907986785,1,0.750547074854381
"10","brickRatio:mycorrhiza",0.330880920815356,1,0.565140829834395
"11","soilType:mycorrhiza",3.01123301280452,1,0.0826893690201007
"12","species:brickRatio:soilType",0.682263547489285,1,0.408808367790097
"13","species:brickRatio:mycorrhiza",0.636897002905528,1,0.424836676037402
